Ticker,Company,Exchange,Market Cap
DECK,Deckers Outdoor Corp.,NASDAQ,32462692352.0
DELL,Dell Inc.,NASDAQ,70517047296.0
DENN,Denny's Corp.,NASDAQ,329532832.0
DGICA,Donegal Group,NASDAQ,494906816.0
DGICB,Donegal Group,NASDAQ,500827328.0
DGII,Digi International Inc.,NASDAQ,1132929024.0
DHIL,Diamond Hill Investment Group,NASDAQ,408042304.0
DIOD,Diodes Inc.,NASDAQ,2671091712.0
DJCO,Daily Journal Corp. [S.C.],NASDAQ,588024832.0
DLHC,Dlh Holdings Corp,NASDAQ,110488320.0
DLTR,Dollar Tree,NASDAQ,15878479872.0
DMLP,Dorchester Minerals L.P.,NASDAQ,1498304640.0
DMRC,Digimarc Corp.,NASDAQ,826752384.0
DORM,Dorman Products,NASDAQ,4019917824.0
FCNCA,First Citizens Bancshares,NASDAQ,28810604544.0
FDUS,Fidus Investment Corporation,NASDAQ,761215424.0
FEIM,Frequency Electronics,NASDAQ,165893456.0
FELE,Franklin Electric Co.,NASDAQ,4528991744.0
FFBC,First Financial Bancorp.,NASDAQ,2650935552.0
FFIC,Flushing Financial Corp.,NASDAQ,480513952.0
FFIN,First Financial Bankshares,NASDAQ,5412825600.0
FFIV,F5 Networks,NASDAQ,15684760576.0
FFNW,First Financial Northwest,NASDAQ,196137712.0
FIBK,First Interstate Bancsystem,NASDAQ,3450535168.0
FISI,Financial Institutions,NASDAQ,526787904.0
FITB,Fifth Third Bancorp,NASDAQ,29945221120.0
FIVE,Five Below Inc.,NASDAQ,5245165056.0
FIZZ,National Beverage,NASDAQ,4008577024.0
FLEX,Flextronics International Ltd,NASDAQ,15292223488.0
FLIC,The First Of Long Island Corp.,NASDAQ,274829632.0
FLL,Full House Resorts,NASDAQ,175869440.0
FLWS,1-800 Flowers.Com,NASDAQ,544648128.0
FLXS,Flexsteel Industries,NASDAQ,252813392.0
FMNB,Farmers Natl Banc Corp Oh,NASDAQ,513072096.0
FNLC,First Bancorp Inc [Me],NASDAQ,284967264.0
FOLD,Amicus Therapeutics,NASDAQ,2911864576.0
FONR,Fonar Corp.,NASDAQ,100149200.0
FORM,Formfactor,NASDAQ,2919887616.0
FORR,Forrester Research,NASDAQ,295387808.0
FORTY,Formula Systems Ltd,NASDAQ,1353362176.0
FOSL,Fossil,NASDAQ,89631888.0
FOX,21St Century Fox Class B,NASDAQ,22246215680.0
FOXA,21St Century Fox Class A,NASDAQ,22290288640.0
FOXF,Fox Factory Holding Corp.,NASDAQ,1194229376.0
FRME,First Merchants Corp.,NASDAQ,2407275264.0
FSBW,Fs Bancorp Inc.,NASDAQ,321153408.0
FSFG,First Savings Financial Group,NASDAQ,173903808.0
FSLR,First Solar,NASDAQ,16951563264.0
FSTR,L.B. Foster Company,NASDAQ,290300832.0
FTNT,Fortinet,NASDAQ,76599312384.0
FULT,Fulton Financial Corp.,NASDAQ,3707332096.0
FUNC,First United Corp.,NASDAQ,207966144.0
FUND,Royce Focus Trust,NASDAQ,228009024.0
FWRD,Forward Air Corp.,NASDAQ,977790080.0
GABC,German American Bancorp,NASDAQ,1221410432.0
GAIA,Gaiam,NASDAQ,134795520.0
GAIN,Gladstone Investment Corp.,NASDAQ,494380256.0
GALT,Galectin Therapeutics Inc,NASDAQ,75941784.0
GASS,Stealthgas,NASDAQ,200424336.0
GBCI,Glacier Bancorp,NASDAQ,5610563584.0
GBDC,Golub Capital Bdc,NASDAQ,4129328128.0
GBLI,Global Indemnity Plc,NASDAQ,488312256.0
GCBC,Greene County Bancorp,NASDAQ,446187296.0
GENC,Gencor Industries Inc.,NASDAQ,232177968.0
GEOS,Oyo Geospace Corp.,NASDAQ,119048904.0
GERN,Geron Corp.,NASDAQ,1780255360.0
GEVO,Gevo,NASDAQ,409385984.0
GGAL,Grupo Financiero Galicia S.A.,NASDAQ,12238413824.0
GIFI,Gulf Island Fabrication,NASDAQ,112508640.0
GIII,G-III Apparel Group,NASDAQ,1416662656.0
GILD,Gilead Sciences,NASDAQ,119654383616.0
GILT,Gilat Satellite Networks Ltd,NASDAQ,392847136.0
GLAD,Gladstone Capital Corp.,NASDAQ,675648128.0
GLDD,Great Lakes Dredge & Dock Corp.,NASDAQ,725529536.0
GLNG,Golar Lng Limited,NASDAQ,4065211648.0
GLRE,Greenlight Capital Re,NASDAQ,484868416.0
GNTX,Gentex Corp.,NASDAQ,6368096256.0
GOGO,Gogo Inc.,NASDAQ,1131238272.0
GOLD,Randgold Resources Limited,NASDAQ,27872657408.0
GOOD,Gladstone Commercial Corp.,NASDAQ,724371008.0
GOOG,Google Inc.,NASDAQ,2389355790336.0
GPOR,Gulfport Energy Corp.,NASDAQ,3143493632.0
GPRE,Green Plains Renewable Energy,NASDAQ,580244544.0
GRFS,Grifols S.A.,NASDAQ,5417046528.0
GRMN,Garmin Ltd,NASDAQ,41684787200.0
GRPN,Groupon Inc,NASDAQ,413386304.0
GRVY,Gravity Co.,NASDAQ,417142464.0
GSBC,Great Southern Bancorp,NASDAQ,698134400.0
GSIT,Gsi Technology,NASDAQ,73398240.0
GSM,Globe Specialty Metals Inc.,NASDAQ,724296640.0
GT,Goodyear Tire & Rubber Company,NASDAQ,2585648896.0
GTLS,Chart Industries,NASDAQ,8668605440.0
HAFC,Hanmi Financial Corp.,NASDAQ,688477888.0
HAIN,The Hain Celestial Group,NASDAQ,482989376.0
HALO,Halozyme Therapeutics,NASDAQ,7129801216.0
HAS,Hasbro,NASDAQ,8206843392.0
HBAN,Huntington Bancshares Inc.,NASDAQ,24923965440.0
HBCP,Home Bancorp,NASDAQ,397181632.0
HBIO,Harvard Bioscience,NASDAQ,76110968.0
HBNC,Horizon Bancorp [In],NASDAQ,740652416.0
HCKT,The Hackett Group,NASDAQ,862848768.0
HCSG,Healthcare Services Group,NASDAQ,827456576.0
HDSN,Hudson Technologies,NASDAQ,261247344.0
HEES,H&E Equipment Services,NASDAQ,3233310976.0
HELE,Helen Of Troy Limited,NASDAQ,1489963136.0
HFWA,Heritage Financial Corp.,NASDAQ,855718336.0
HIFS,Hingham Institution For Savings,NASDAQ,560760320.0
HIMX,Himax Technologies,NASDAQ,1604364928.0
HLIT,Harmonic Inc.,NASDAQ,1340071936.0
HMST,Homestreet Inc.,NASDAQ,193384688.0
HNRG,Hallador Energy Company,NASDAQ,403797024.0
HOFT,Hooker Furniture Corp.,NASDAQ,144590400.0
HOLX,Hologic,NASDAQ,16328801280.0
HOMB,Home Bancshares,NASDAQ,6030102016.0
HOVNP,Hovnanian Enterprises Inc,NASDAQ,2526752000.0
HRZN,Horizon Technology Finance Corp.,NASDAQ,368651776.0
HSIC,Henry Schein,NASDAQ,9523134464.0
HSII,Heidrick & Struggles International,NASDAQ,935970496.0
HSTM,Healthstream,NASDAQ,983161664.0
HTBI,Hometrust Bancshares Inc.,NASDAQ,645194688.0
HTBK,Heritage Commerce Corp,NASDAQ,597223744.0
HTCO,Hickory Tech Corp.,NASDAQ,295769824.0
KLAC,Kla-Tencor Corp.,NASDAQ,92544532480.0
KLIC,Kulicke And Soffa Industries,NASDAQ,2284374528.0
KMDA,Kamada Ltd.,NASDAQ,396214144.0
KNDI,Kandi Technolgies,NASDAQ,98113472.0
KOPN,Kopin Corp.,NASDAQ,274389088.0
KOSS,Koss Corp.,NASDAQ,56993124.0
KRNY,Kearny Financial,NASDAQ,461744864.0
KTOS,Kratos Defense & Security Solutions,NASDAQ,5070043648.0
KVHI,Kvh Industries,NASDAQ,115230768.0
LAKE,Lakeland Industries,NASDAQ,180067168.0
LAMR,Lamar Advertising Company,NASDAQ,13011748864.0
LANC,Lancaster Colony Corp.,NASDAQ,4769968640.0
LAND,Gladstone Land Corporation,NASDAQ,388623680.0
LARK,Landmark Bancorp Inc.,NASDAQ,136291328.0
LBAI,Lakeland Bancorp,NASDAQ,875024960.0
LBTYA,Liberty Global,NASDAQ,4314963968.0
LBTYB,Liberty Global,NASDAQ,4313488384.0
LBTYK,Liberty Global,NASDAQ,4318595584.0
LCNB,Lcnb Corporation,NASDAQ,210442416.0
LCUT,Lifetime Brands,NASDAQ,136263712.0
LECO,Lincoln Electric Holdings,NASDAQ,11025600512.0
LFUS,Littelfuse,NASDAQ,5545340928.0
LFVN,Lifevantage Corp,NASDAQ,277370560.0
LGCY,Legacy Reserves Lp,NASDAQ,102613736.0
LGND,Ligand Pharmaceuticals Inc.,NASDAQ,2208872192.0
LINC,Lincoln Educational Services Corp.,NASDAQ,496269600.0
LINE,Linn Energy Llc,NASDAQ,15001568256.0
LION,Fidelity Southern Corp.,NASDAQ,2104484480.0
LKFN,Lakeland Financial Corp.,NASDAQ,1771004032.0
LKQ,Lkq Corp.,NASDAQ,10000661504.0
LMAT,Lemaitre Vascular,NASDAQ,2243678464.0
LMNR,Limoneira Co,NASDAQ,412656352.0
LOAN,Manhattan Bridge Capital Inc,NASDAQ,63599172.0
LOGI,Logitech International S.A.,NASDAQ,13852896256.0
LOPE,Grand Canyon Education,NASDAQ,5006665728.0
LPLA,Lpl Investment Holdings Inc.,NASDAQ,26710675456.0
LPSN,Liveperson,NASDAQ,114469992.0
LPTH,Lightpath Technologies,NASDAQ,115841344.0
LQDT,Liquidity Services,NASDAQ,1138270336.0
LRCX,Lam Research Corp.,NASDAQ,95215067136.0
LSBK,Lake Shore Bancorp,NASDAQ,76852080.0
LSCC,Lattice Semiconductor Corp.,NASDAQ,7562191360.0
LSTR,Landstar System,NASDAQ,6226417152.0
LTBR,Lightbridge Corp.,NASDAQ,109185784.0
LTRX,Lantronix,NASDAQ,142550976.0
LULU,Lululemon Athletica Inc.,NASDAQ,50252341248.0
LWAY,Lifeway Foods,NASDAQ,342927904.0
LXRX,Lexicon Pharmaceuticals,NASDAQ,343489696.0
LYTS,Lsi Industries Inc.,NASDAQ,627797888.0
MAG,Magnetek,NASDAQ,1485554688.0
MANH,Manhattan Associates,NASDAQ,18179061760.0
MASI,Masimo Corp.,NASDAQ,9199612928.0
MAT,Mattel,NASDAQ,6267261440.0
MATW,Matthews International Corp.,NASDAQ,887445056.0
MAYS,J. W. Mays,NASDAQ,85650496.0
MBWM,Mercantile Bank Corp.,NASDAQ,788509440.0
MCBI,Metrocorp Bancshares,NASDAQ,136728528.0
MCBK,Madison County Financial Inc.,NASDAQ,67236864.0
MCHP,Microchip Technology Inc.,NASDAQ,29949046784.0
MCHX,Marchex,NASDAQ,82996368.0
MCRI,Monarch Casino & Resort,NASDAQ,1572451968.0
MDLZ,Mondelez International Inc. Cl A,NASDAQ,77022142464.0
MDRX,Allscripts Healthcare Solutions,NASDAQ,807299968.0
MDXG,Mimedx Group Inc,NASDAQ,1332065408.0
MELI,Mercadolibre,NASDAQ,95057625088.0
MEOH,Methanex Corp.,NASDAQ,3355223808.0
MERC,Mercer International Inc.,NASDAQ,422957792.0
MGEE,Mge Energy Inc.,NASDAQ,3187110912.0
MGIC,Magic Software Enterprises Ltd,NASDAQ,625272000.0
MGPI,Mgp Ingredients,NASDAQ,807661952.0
MGRC,Mcgrath Rentcorp,NASDAQ,3018569984.0
MGYR,Magyar Bancorp,NASDAQ,95343184.0
MHLD,Maiden Hldgs Ltd,NASDAQ,100237408.0
MIDD,The Middleby Corp.,NASDAQ,9248396288.0
MIND,Mitcham Industries,NASDAQ,68775296.0
MITK,Mitek Systems Inc,NASDAQ,463772160.0
MKSI,Mks Instruments,NASDAQ,7181465088.0
MKTX,Marketaxess Holdings,NASDAQ,8404310528.0
MLAB,Mesa Laboratories,NASDAQ,784188416.0
MLNK,Moduslink Global Solutions Inc,NASDAQ,1599623808.0
MMLP,Martin Midstream Partners L.P.,NASDAQ,137868896.0
MMSI,Merit Medical Systems,NASDAQ,6290824192.0
MMYT,Makemytrip Limited,NASDAQ,11476610048.0
MNKD,Mannkind Corp.,NASDAQ,1690519040.0
MNOV,Medicinova,NASDAQ,97597032.0
MNRO,Monro Muffler Brake,NASDAQ,652896896.0
MNST,Monster Beverage Corp,NASDAQ,47361724416.0
MOFG,Midwestone Financial Group,NASDAQ,658646784.0
MORN,Morningstar,NASDAQ,14289872896.0
ORLY,O'Reilly Automotive,NASDAQ,74218586112.0
ORMP,Oramed Pharmaceuticl,NASDAQ,90299104.0
ORRF,Orrstown Financial Services Inc,NASDAQ,702742528.0
OSBC,Old Second Bancorp,NASDAQ,840031872.0
OSIS,Osi Systems,NASDAQ,3270319616.0
OSUR,Orasure Technologies,NASDAQ,293901152.0
OTEX,Open Text Corp.,NASDAQ,7798260224.0
OTTR,Otter Tail Corp.,NASDAQ,3234559232.0
OVBC,Ohio Valley Banc,NASDAQ,107552128.0
OVLY,Oak Valley Bancorp [Ca],NASDAQ,217242864.0
OXLC,Oxford Lane Capital,NASDAQ,1870283392.0
OXLCO,Oxford Lane Capital Corp.,NASDAQ,425208128.0
PAAS,Pan American Silver,NASDAQ,7859058176.0
PACB,Pacific Biosciences Of California,NASDAQ,473847168.0
PAMT,Parametric Sound,NASDAQ,350698272.0
PATH,Nupathe Inc.,NASDAQ,8279708160.0
PATK,Patrick Industries,NASDAQ,3225561600.0
PAYX,Paychex,NASDAQ,53606182912.0
PBHC,Pathfinder Bancorp,NASDAQ,100712160.0
PCAR,Paccar Inc.,NASDAQ,56417411072.0
PCH,Potlatch Corp.,NASDAQ,3331674880.0
PCRX,Pacira Pharmaceuticals,NASDAQ,1160332416.0
PCYO,Pure Cycle Corp.,NASDAQ,270383584.0
PDCO,Patterson Companies Inc.,NASDAQ,2733017600.0
PDEX,Pro-Dex,NASDAQ,132189376.0
PDFS,Pdf Solutions,NASDAQ,1001504000.0
PEBK,Peoples Bancorp Of North Carolina,NASDAQ,150219280.0
PEBO,Peoples Bancorp Inc.,NASDAQ,1164352384.0
PEGA,Pegasystems Inc.,NASDAQ,9527246848.0
PENN,Penn National Gaming,NASDAQ,3093789696.0
PERF,Perfumania Holdings Inc,NASDAQ,222540064.0
PERI,Perion Network Ltd,NASDAQ,415185440.0
PESI,Perma-Fix Environmental Services,NASDAQ,184323312.0
PETS,Petmed Express,NASDAQ,92819096.0
PFBC,Preferred Bank,NASDAQ,1149065472.0
PFBX,Peoples Financial Corp.,NASDAQ,90203704.0
PFLT,Pennantpark Floating Rate Capit,NASDAQ,935087936.0
PGC,Peapack-Gladstone Financial Corp.,NASDAQ,571786048.0
PKBK,Parke Bancorp,NASDAQ,235909312.0
PKOH,Park-Ohio Holdings,NASDAQ,350275200.0
PLAB,Photronics,NASDAQ,1411746176.0
PLBC,Plumas Bancorp,NASDAQ,285941312.0
PLCE,The Children's Place Retail Stores,NASDAQ,128105704.0
PLPC,Preformed Line Products Company,NASDAQ,706723712.0
PLUG,Plug Power,NASDAQ,1755967616.0
PLUS,Eplus Inc.,NASDAQ,2103365376.0
PLXS,Plexus,NASDAQ,3870048256.0
PNFP,Pinnacle Financial Partners,NASDAQ,9523939328.0
PNNT,Pennantpark Investment Corp.,NASDAQ,455766784.0
PNRG,Primeenergy Corp.,NASDAQ,358648352.0
PODD,Insulet Corp.,NASDAQ,19496046592.0
POOL,Pool Corp.,NASDAQ,13394013184.0
POWI,Power Integrations,NASDAQ,3301558784.0
POWL,Powell Industries,NASDAQ,2783394048.0
PPBI,Pacific Premier Bancorp Inc,NASDAQ,2481927168.0
PPC,Pilgrim's Pride Corp.,NASDAQ,11126996992.0
PRAA,Portfolio Recovery Associates,NASDAQ,859699200.0
PRGS,Progress Software Corp.,NASDAQ,2420896768.0
PRIM,Primoris Services Corp.,NASDAQ,3791876352.0
PRKR,Parkervision,NASDAQ,84446056.0
PROV,Provident Financial Holdings,NASDAQ,106855400.0
PRTA,Prothena Corporation Plc,NASDAQ,863629568.0
PRTS,U.S. Auto Parts Network,NASDAQ,69429608.0
PSEC,Prospect Capital Corp.,NASDAQ,1910581760.0
PSMT,Pricesmart,NASDAQ,2810659840.0
PTCT,Ptc Therapeutics Inc.,NASDAQ,3522303232.0
PTEN,Patterson-Uti Energy,NASDAQ,3219086848.0
PWOD,Penns Woods Bancorp,NASDAQ,230807696.0
PXLW,Pixelworks,NASDAQ,50097640.0
PZZA,Papa John's International,NASDAQ,1294892160.0
QCOM,Qualcomm Inc.,NASDAQ,188999565312.0
QCRH,Qcr Holdings,NASDAQ,1321016448.0
QDEL,Quidel Corp.,NASDAQ,3052445440.0
QGEN,Qiagen N.V.,NASDAQ,10114915328.0
QLYS,Qualys Inc.,NASDAQ,5437531136.0
QNST,Quinstreet,NASDAQ,1344685696.0
QQQX,Nasdaq Premium Income And Growth,NASDAQ,1330530304.0
QUIK,Quicklogic Corp.,NASDAQ,119854312.0
RAIL,Freightcar America,NASDAQ,228468144.0
RAND,Rand Capital Corp.,NASDAQ,65531608.0
RBCAA,Republic Bancorp,NASDAQ,1281629824.0
SKYW,Skywest,NASDAQ,4555629568.0
SLAB,Silicon Laboratories,NASDAQ,4240953600.0
SLGN,Silgan Holdings,NASDAQ,5663338496.0
SLM,Slm Corp.,NASDAQ,5954319872.0
SLMBP,Slm Corp Pfd B,NASDAQ,4895173632.0
SLP,Simulations Plus,NASDAQ,678219008.0
SLRC,Solar Capital Ltd,NASDAQ,911607296.0
SMBC,Southern Missouri Bancorp,NASDAQ,646521920.0
SMCI,Super Micro Computer,NASDAQ,16331407360.0
SMPL,Kaiser Federal Financial Group,NASDAQ,3931155200.0
SMRT,Stein Mart,NASDAQ,287852128.0
SMTC,Semtech Corp.,NASDAQ,5047497728.0
SNCR,Synchronoss Technologies,NASDAQ,106767112.0
SNFCA,Security National Financial Corp.,NASDAQ,307813344.0
SNPS,Synopsys,NASDAQ,78983176192.0
SOHU,Sohu.Com Inc.,NASDAQ,421172640.0
SPNS,Sapiens International Corporation N.V.,NASDAQ,1494971904.0
SPSC,Sps Commerce,NASDAQ,7332541440.0
SPTN,Spartan Stores,NASDAQ,621685760.0
SRCE,1St Source Corp.,NASDAQ,1495003904.0
SRCL,Stericycle,NASDAQ,5754061824.0
SRDX,Surmodics,NASDAQ,538244288.0
SRPT,Sarepta Therapeutics Inc,NASDAQ,11201821696.0
SSNC,SS&C Technologies Holdings,NASDAQ,20038952960.0
SSYS,Stratasys,NASDAQ,677465088.0
STAA,Staar Surgical Company,NASDAQ,1226723584.0
STBA,S&T Bancorp,NASDAQ,1447747072.0
STEL,Stellarone Corp.,NASDAQ,1525189632.0
STEM,Stemcells,NASDAQ,109728744.0
STKL,Sunopta,NASDAQ,875134976.0
STLD,Steel Dynamics,NASDAQ,19059550208.0
STRA,Strayer Education,NASDAQ,2418120192.0
STRL,Sterling Construction Company Inc,NASDAQ,4243322112.0
STRS,Stratus Properties,NASDAQ,157923488.0
STRT,Strattec Security Corp.,NASDAQ,158097024.0
STX,Seagate Technology.,NASDAQ,21001334784.0
STXS,Stereotaxis,NASDAQ,191488672.0
SUNS,Solar Senior Capital Ltd.,NASDAQ,81442704.0
SUPN,Supernus Pharmaceuticals Inc.,NASDAQ,2173983744.0
SVA,Sinovac Biotech,NASDAQ,642436736.0
SWKS,Skyworks Solutions,NASDAQ,14310770688.0
SYBT,S.Y. Bancorp,NASDAQ,2189960704.0
SYNA,Synaptics Inc.,NASDAQ,3169020160.0
TATT,Tat Technologies Ltd,NASDAQ,324946400.0
TAYD,Taylor Devices,NASDAQ,105847088.0
TBBK,The Bancorp,NASDAQ,2650165760.0
TBNK,Territorial Bancorp Inc.,NASDAQ,73700392.0
TCBI,Texas Capital Bancshares,NASDAQ,3565781760.0
TCBK,Trico Bancshares,NASDAQ,1446411392.0
TCPC,Tcp Capital Corp.,NASDAQ,795132800.0
TECH,Techne Corp.,NASDAQ,11848576000.0
TFSL,Tfs Financial Corp.,NASDAQ,3602651136.0
TGTX,Tg Therapeutics,NASDAQ,5139279360.0
THFF,First Financial Corporation Indiana,NASDAQ,563905408.0
THRD,Tf Financial Corp.,NASDAQ,234303664.0
THRM,Amerigon Incorporated,NASDAQ,1242754688.0
TIGR,Tigerlogic Corp.,NASDAQ,1269958272.0
TILE,Interface,NASDAQ,1415028352.0
TIPT,Tiptree Financial Inc.,NASDAQ,753900224.0
TITN,Titan Machinery Inc.,NASDAQ,404697472.0
TNXP,Tonix Pharm Hldg Cor,NASDAQ,93615200.0
TOWN,Towne Bank,NASDAQ,2712950016.0
TRAK,Dealertrack Holdings,NASDAQ,379463584.0
TREE,Tree.Com,NASDAQ,631354496.0
TRIP,Tripadvisor Inc.,NASDAQ,2408643328.0
TRMB,Trimble Navigation Limited,NASDAQ,18313961472.0
TRMK,Trustmark Corp.,NASDAQ,2191902720.0
TRNS,Transcat,NASDAQ,739486016.0
TROW,T. Rowe Price Group,NASDAQ,25504964608.0
TRS,Trimas Corp.,NASDAQ,1018958208.0
TRST,Trustco Bank Corp NY,NASDAQ,611835328.0
TSBK,Timberland Bancorp,NASDAQ,236248832.0
TSCO,Tractor Supply Company,NASDAQ,30849228800.0
TSEM,Tower Semiconductor Ltd,NASDAQ,5444798464.0
TSLA,Tesla Motors,NASDAQ,1251602333696.0
TTEC,Teletech Holdings,NASDAQ,183756256.0
TTEK,Tetra Tech,NASDAQ,10388764672.0
TTGT,Techtarget,NASDAQ,1260452096.0
TTMI,Ttm Technologies,NASDAQ,2436549376.0
WLDN,Willdan Group,NASDAQ,530389984.0
WLFC,Willis Lease Finance Corp.,NASDAQ,1242601344.0
WOOF,Vca Antech,NASDAQ,1021309120.0
WPRT,Westport Innovations Inc,NASDAQ,73721120.0
WRLD,World Acceptance Corp.,NASDAQ,856542208.0
WSBC,Wesbanco,NASDAQ,2302041344.0
WSBF,Waterstone Financial,NASDAQ,259987008.0
WSFS,Wsfs Financial Corp.,NASDAQ,3251747584.0
WTBA,West Bancorporation,NASDAQ,370317184.0
WTFC,Wintrust Financial Corp.,NASDAQ,8690590720.0
WWD,Woodward,NASDAQ,10931248128.0
WYNN,Wynn Resorts Limited,NASDAQ,9245621248.0
XOMA,Xoma Ltd,NASDAQ,319075520.0
XRAY,Dentsply International Inc.,NASDAQ,3896088064.0
YORW,The York Water Company,NASDAQ,449984320.0
YY,Yy Inc.,NASDAQ,2383530240.0
Z,Zillow Inc. Cl A,NASDAQ,19622019072.0
ZBRA,Zebra Technologies Corporation,NASDAQ,20507951104.0
ZEUS,Olympic Steel,NASDAQ,398098176.0
ZION,Zions Bancorporation,NASDAQ,8427908096.0
ZUMZ,Zumiez Inc.,NASDAQ,305230976.0
AAPL,
MSFT,
NVDA