Ticker,Name,Recommendation Score
LGI,Lazard Global Total Return and ,0.59
LH,Labcorp Holdings Inc.,1.46
LII,"Lennox International, Inc.",1.82
LIN,Linde plc,1.63
LITB,"LightInTheBox Holding Co., Ltd.",0.98
LLY,Eli Lilly and Company,0.53
LMT,Lockheed Martin Corporation,2.93
LNC,Lincoln National Corporation,0.91
LND,Brasilagro Brazilian Agric Real,1.53
LNN,Lindsay Corporation,1.27
LNT,Alliant Energy Corporation,0.79
LOW,"Lowe's Companies, Inc.",2.26
LPX,Louisiana-Pacific Corporation,1.80
LRN,"Stride, Inc.",1.59
LSE,"Leishen Energy Holding Co., Ltd",1.48
LTC,"LTC Properties, Inc.",1.05
LTM,LATAM Airlines Group S.A.,1.47
LUV,Southwest Airlines Company,-0.00
LXFR,Luxfer Holdings PLC,1.96
LXP,LXP Industrial Trust,0.21
LYB,LyondellBasell Industries NV,0.95
LYG,Lloyds Banking Group Plc,0.70
LYV,"Live Nation Entertainment, Inc.",0.50
LZB,La-Z-Boy Incorporated,1.20
M,Macy's Inc,1.57
MA,Mastercard Incorporated,0.13
MAA,Mid-America Apartment Communiti,0.77
MAIN,Main Street Capital Corporation,1.36
MAR,Marriott International,1.24
MAS,Masco Corporation,2.42
MATX,"Matson, Inc.",2.21
MAV,Pioneer Municipal High Income A,-0.18
MCD,McDonald's Corporation,1.72
MCI,Barings Corporate Investors,1.38
MCK,McKesson Corporation,0.61
MCN,Madison Covered Call & Equity S,0.51
MCO,Moody's Corporation,1.25
MCR,MFS Charter Income Trust,1.20
MCY,Mercury General Corporation,1.01
MDT,Medtronic plc.,0.99
MDU,"MDU Resources Group, Inc.",0.83
MET,"MetLife, Inc.",1.43
MFA,"MFA Financial, Inc.",0.89
MFC,Manulife Financial Corporation,0.60
MFG,"Mizuho Financial Group, Inc. Sp",0.64
MFM,MFS Municipal Income Trust,0.70
MG,Mistras Group Inc,1.12
MGA,"Magna International, Inc.",1.22
MGF,MFS Government Markets Income T,0.85
MGM,MGM Resorts International,0.86
MHD,"Blackrock MuniHoldings Fund, In",0.29
MHF,Western Asset Municipal High In,0.24
MHI,Pioneer Municipal High Income T,0.52
MHK,"Mohawk Industries, Inc.",1.07
MHN,Blackrock MuniHoldings New York,-1.63
MHO,"M/I Homes, Inc.",1.94
MITT,"AG Mortgage Investment Trust, I",0.82
MIY,Blackrock MuniYield Michigan Qu,0.06
MKC,"McCormick & Company, Incorporat",1.03
MKL,Markel Group Inc.,1.00
MLI,"Mueller Industries, Inc.",1.90
MLM,"Martin Marietta Materials, Inc.",1.21
MLR,"Miller Industries, Inc.",1.53
MMC,"Marsh & McLennan Companies, Inc",2.06
MMD,MainStay MacKay DefinedTerm Mun,0.95
MMM,3M Company,1.84
MMS,"Maximus, Inc.",1.89
MMT,MFS Multimarket Income Trust,1.09
MMU,Western Asset Managed Municipal,-0.61
MNR,Mach Natural Resources LP,1.59
MO,"Altria Group, Inc.",2.30
MOD,Modine Manufacturing Company,1.29
MOH,Molina Healthcare Inc,1.65
MOS,Mosaic Company (The),0.47
MOV,Movado Group Inc.,0.66
MPA,Blackrock MuniYield Pennsylvani,0.59
MPC,Marathon Petroleum Corporation,1.00
MPLX,MPLX LP,1.53
MPV,Barings Participation Investors,1.39
MPX,Marine Products Corporation,1.07
MQT,Blackrock MuniYield Quality Fun,0.14
MQY,Blackrock MuniYield Quality Fun,0.19
MRC,MRC Global Inc.,0.80
MRK,"Merck & Company, Inc.",2.42
MSA,MSA Safety Incorporated,1.59
MSB,Mesabi Trust,3.29
MSCI,MSCI Inc.,1.72
MSD,Morgan Stanley Emerging Markets,1.59
MSI,"Motorola Solutions, Inc.",2.12
MSM,"MSC Industrial Direct Company, ",1.34
MT,Arcelor Mittal NY Registry Shar,0.74
MTB,M&T Bank Corporation,1.20
MTD,"Mettler-Toledo International, I",1.85
MTDR,Matador Resources Company,1.76
MTG,MGIC Investment Corporation,3.01
MTH,Meritage Homes Corporation,1.78
MTN,"Vail Resorts, Inc.",1.19
MTR,Mesa Royalty Trust,1.35
MTRN,Materion Corporation,-0.28
MTW,"Manitowoc Company, Inc. (The)",0.96
MTZ,"MasTec, Inc.",0.21
MUA,"Blackrock MuniAssets Fund, Inc",1.05
MUC,Blackrock MuniHoldings Californ,-0.67
MUE,Blackrock MuniHoldings Quality ,0.51
MUJ,Blackrock MuniHoldings New Jers,0.26
MUR,Murphy Oil Corporation,1.28
MVO,MV Oil Trust,4.66
MVT,"Blackrock MuniVest Fund II, Inc",0.38
MWA,MUELLER WATER PRODUCTS,1.23
MYE,"Myers Industries, Inc.",0.56
MYI,Blackrock MuniYield Quality Fun,0.20
MYN,Blackrock MuniYield New York Qu,-1.23
NAC,Nuveen California Quality Munic,0.92
NAD,Nuveen Quality Municipal Income,-0.75
NAN,Nuveen New York Quality Municip,nan
NAT,Nordic American Tankers Limited,1.08
NBHC,National Bank Holdings Corporat,1.06
NC,"NACCO Industries, Inc.",-1.60
NCA,Nuveen California Municipal Val,0.88
NCI,Neo-Concept International Group,1.53
NCT,Intercont (Cayman) Limited,0.59
NCV,AllianzGI Convertible & Income ,-0.82
NCZ,AllianzGI Convertible & Income ,1.30
NE,Noble Corporation plc A,1.60
NEE,"NextEra Energy, Inc.",1.40
NEM,Newmont Corporation,1.67
NEU,NewMarket Corp,1.82
NFG,National Fuel Gas Company,-0.35
NFJ,"AllianzGI NFJ Dividend, Interes",0.83
NGG,"National Grid Transco, PLC Nati",0.93
NGS,"Natural Gas Services Group, Inc",1.19
NGVC,Natural Grocers by Vitamin Cott,1.09
NHI,"National Health Investors, Inc.",1.00
NI,NiSource Inc,1.84
NIM,Nuveen Select Maturities Munici,0.09
NJR,NewJersey Resources Corporation,1.32
NKE,"Nike, Inc.",0.91
NL,"NL Industries, Inc.",1.18
NLY,Annaly Capital Management Inc.,5.56
NMFC,New Mountain Finance Corporatio,1.37
NMI,"Nuveen Municipal Income Fund, I",0.66
NMM,Navios Maritime Partners LP,1.52
NMR,Nomura Holdings Inc,0.80
NMT,Nuveen Massachusetts Quality Mu,0.86
NNI,"Nelnet, Inc.",0.56
NNN,"NNN REIT, Inc.",1.59
NNY,Nuveen New York Municipal Value,0.90
NOA,North American Construction Gro,1.23
NOAH,Noah Holdings Limited,1.11
NOC,Northrop Grumman Corporation,1.45
NOK,Nokia Corporation Sponsored,0.76
NOV,NOV Inc.,1.41
NOW,"ServiceNow, Inc.",0.17
NPK,"National Presto Industries, Inc",1.33
NPO,Enpro Inc.,0.69
NPV,Nuveen Virginia Quality Municip,0.97
NRG,"NRG Energy, Inc.",1.10
NRP,Natural Resource Partners LP Li,1.94
NRT,North European Oil Royality Tru,3.82
NSC,Norfolk Southern Corporation,1.27
NSP,"Insperity, Inc.",0.54
NU,Nu Holdings Ltd.,0.85
NUE,Nucor Corporation,1.35
NUV,"Nuveen Municipal Value Fund, In",0.20
NVO,Novo Nordisk A/S,2.15
NVR,"NVR, Inc.",2.10
NVS,Novartis AG,1.69
NWE,"NorthWestern Energy Group, Inc.",1.44
NWN,Northwest Natural Holding Compa,1.07
NX,Quanex Building Products Corpor,0.31
NXC,Nuveen California Select Tax-Fr,0.49
NXP,Nuveen Select Tax Free Income P,0.13
NYT,New York Times Company (The),1.40
O,Realty Income Corporation,0.22
OC,Owens Corning Inc,1.98
ODC,Oil-Dri Corporation Of America,1.83
ODP,The ODP Corporation,1.09
OFG,OFG Bancorp,1.15
OGE,OGE Energy Corp,2.01
OHI,"Omega Healthcare Investors, Inc",0.96
OIA,Invesco Municipal Income Opport,0.96
OII,"Oceaneering International, Inc.",1.65
OIS,"Oil States International, Inc.",-0.22
OKE,"ONEOK, Inc.",1.29
OLN,Olin Corporation,0.43
OLP,"One Liberty Properties, Inc.",0.90
OMC,Omnicom Group Inc.,1.73
ONB,Old National Bancorp,0.76
OPY,"Oppenheimer Holdings, Inc.",1.00
ORA,"Ormat Technologies, Inc.",0.59
ORCL,Oracle Corporation,0.73
ORI,Old Republic International Corp,1.09
ORN,"Orion Group Holdings, Inc.",0.07
OSK,Oshkosh Corporation (Holding Co,1.38
OXM,"Oxford Industries, Inc.",1.43
OXY,Occidental Petroleum Corporatio,1.09
PAA,"Plains All American Pipeline, L",1.01
PAC,Grupo Aeroportuario Del Pacific,1.68
PAG,"Penske Automotive Group, Inc.",1.27
PAI,Western Asset Investment Grade ,0.63
PAM,Pampa Energia S.A.,1.16
PANW,"Palo Alto Networks, Inc.",-0.56
PAY,"Paymentus Holdings, Inc.",0.72
PB,"Prosperity Bancshares, Inc.",1.03
PBA,Pembina Pipeline Corp.,1.20
PBH,Prestige Consumer Healthcare In,1.62
PBI,Pitney Bowes Inc.,-0.05
PBR,Petroleo Brasileiro S.A. Petrob,1.68
PBT,Permian Basin Royalty Trust,4.92
PBYI,Puma Biotechnology Inc,2.12
PCG,Pacific Gas & Electric Co.,6.04
PCM,"PCM Fund, Inc.",1.40
PCN,Pimco Corporate & Income Strate,1.43
PDS,Precision Drilling Corporation,1.30
PDT,John Hancock Premium Dividend F,1.24
PEG,Public Service Enterprise Group,3.21
PEO,"Adams Natural Resources Fund, I",-0.15
PEP,"Pepsico, Inc.",1.46
PFD,Flaherty & Crumrine Preferred I,1.36
PFE,"Pfizer, Inc.",2.71
PFG,Principal Financial Group Inc,0.52
PFL,PIMCO Income Strategy Fund Shar,1.43
PFO,Flaherty & Crumrine Preferred I,1.36
PFS,"Provident Financial Services, I",0.96
PFSI,"PennyMac Financial Services, In",0.83
PFX,PhenixFIN Corporation,1.15
PG,Procter & Gamble Company (The),1.44
PGR,Progressive Corporation (The),1.40
PH,Parker-Hannifin Corporation,2.04
PHD,Pioneer Floating Rate Trust Pio,1.45
PHH,Park Ha Biological Technology C,1.57
PHI,PLDT Inc. Sponsored,1.45
PHM,"PulteGroup, Inc.",2.19
PHX,PHX Minerals Inc.,0.66
PII,Polaris Inc.,0.06
PKE,Park Aerospace Corp.,0.62
PKX,POSCO Holdings Inc.,0.43
PLD,"Prologis, Inc.",0.67
PLOW,"Douglas Dynamics, Inc.",1.58
PM,Philip Morris International Inc,1.83
PMM,Putnam Managed Municipal Income,0.65
PMT,PennyMac Mortgage Investment Tr,1.44
PNC,"PNC Financial Services Group, I",1.02
PNR,Pentair plc.,2.01
PNW,Pinnacle West Capital Corporati,6.31
POR,Portland General Electric Co,2.04
POST,"Post Holdings, Inc.",1.08
PPG,"PPG Industries, Inc.",1.45
PPL,PPL Corporation,6.29
PPT,Putnam Premier Income Trust,0.91
PRA,ProAssurance Corporation,0.40
PRI,"Primerica, Inc.",1.62
PRLB,"Proto Labs, Inc.",0.04
PRU,"Prudential Financial, Inc.",2.11
PSA,Public Storage,1.11
PSO,"Pearson, Plc",1.19
PSX,Phillips 66,0.66
PTY,Pimco Corporate & Income Opport,1.42
PUK,Prudential Public Limited Compa,0.78
PVH,PVH Corp.,1.24
PWR,"Quanta Services, Inc.",0.38
PX,"P10, Inc.",1.27
R,"Ryder System, Inc.",1.77
RBA,"RB Global, Inc.",1.29
RBC,RBC Bearings Incorporated,0.60
RCI,"Rogers Communication, Inc.",1.10
RCL,Royal Caribbean Cruises Ltd.,1.28
RCS,"PIMCO Strategic Income Fund, In",0.95
RDN,Radian Group Inc.,2.22
RDY,Dr. Reddy's Laboratories Ltd,1.52
REG,Regency Centers Corporation,0.66
RES,"RPC, Inc.",0.83
REX,REX American Resources Corporat,1.26
REXR,"Rexford Industrial Realty, Inc.",0.76
RF,Regions Financial Corporation,1.19
RFI,Cohen & Steers Total Return Rea,0.70
RGA,"Reinsurance Group of America, I",0.62
RGR,"Sturm, Ruger & Company, Inc.",2.64
RGS,Regis Corporation,1.37
RH,RH,0.60
RHP,"Ryman Hospitality Properties, I",1.33
RIO,Rio Tinto Plc,1.68
RL,Ralph Lauren Corporation,1.30
RLI,RLI Corp.,1.09
RLJ,RLJ Lodging Trust,0.54
RM,Regional Management Corp.,1.75
RMD,ResMed Inc.,1.49
RMT,"Royce Micro-Cap Trust, Inc.",0.73
RNP,Cohen & Steers Reit and Preferr,1.01
RNR,RenaissanceRe Holdings Ltd.,1.48
ROG,Rogers Corporation,1.56
ROK,"Rockwell Automation, Inc.",0.83
ROL,"Rollins, Inc.",1.15
ROP,"Roper Technologies, Inc.",0.73
RPM,RPM International Inc.,1.28
RPT,Rithm Property Trust Inc.,-0.82
RQI,Cohen & Steers Quality Income R,-1.24
RRC,Range Resources Corporation,1.31
RS,"Reliance, Inc.",1.85
RSG,"Republic Services, Inc.",1.53
RVT,"Royce Value Trust, Inc.",0.62
RWT,"Redwood Trust, Inc.",0.28
RY,Royal Bank Of Canada,0.70
RYN,Rayonier Inc. REIT,1.53
SAM,"Boston Beer Company, Inc. (The)",1.19
SAN,"Banco Santander, S.A. Sponsored",0.82
SAP,SAP  SE,0.90
SAR,Saratoga Investment Corp New,1.38
SB,"Safe Bulkers, Inc",1.39
SBH,"Sally Beauty Holdings, Inc. (Na",1.69
SBR,Sabine Royalty Trust,5.15
SBS,Companhia de saneamento Basico ,2.04
SCCO,Southern Copper Corporation,1.98
SCD,LMP Capital and Income Fund Inc,1.11
SCI,Service Corporation Internation,0.94
SCL,Stepan Company,0.68
SCM,Stellus Capital Investment Corp,1.30
SCS,Steelcase Inc.,1.29
SD,"SandRidge Energy, Inc.",1.39
SDRL,Seadrill Limited,1.14
SE,Sea Limited,-0.22
SEE,Sealed Air Corporation,1.40
SEM,Select Medical Holdings Corpora,0.72
SF,Stifel Financial Corporation,0.77
SFL,SFL Corporation Ltd,0.95
SGU,Star Group L.P.,1.62
SHG,Shinhan Financial Group Co Ltd,0.84
SHO,"Sunstone Hotel Investors, Inc. ",-0.26
SHW,Sherwin-Williams Company (The),1.20
SIG,Signet Jewelers Limited,0.49
SJT,San Juan Basin Royalty Trust,-0.90
SKM,"SK Telecom Co., Ltd.",1.23
SKT,Tanger Inc.,1.08
SKX,"Skechers U.S.A., Inc.",1.22
SKY,"Champion Homes, Inc.",1.54
SLB,Schlumberger N.V.,1.59
SLF,Sun Life Financial Inc.,0.67
SM,SM Energy Company,2.19
SMFG,Sumitomo Mitsui Financial Group,0.60
SMG,Scotts Miracle-Gro Company (The,0.09
SMP,"Standard Motor Products, Inc.",1.36
SN,"SharkNinja, Inc.",1.20
SNA,Snap-On Incorporated,1.71
SNN,"Smith & Nephew SNATS, Inc.",0.88
SNV,Synovus Financial Corp.,1.82
SNX,TD SYNNEX Corporation,0.89
SO,Southern Company (The),1.87
SON,Sonoco Products Company,-0.40
SOR,"Source Capital, Inc. Cmn Shs of",1.13
SPB,"Spectrum Brands Holdings, Inc.",0.68
SPE,"Special Opportunities Fund, Inc",1.16
SPG,"Simon Property Group, Inc.",1.04
SPH,"Suburban Propane Partners, L.P.",1.31
SPLP,Steel Partners Holdings LP LTD ,1.47
SQM,Sociedad Quimica y Minera S.A.,1.16
SR,Spire Inc.,0.87
SRE,DBA Sempra,2.25
SSD,"Simpson Manufacturing Company, ",1.75
SSP,E.W. Scripps Company (The),1.55
SSTK,"Shutterstock, Inc.",1.06
ST,Sensata Technologies Holding pl,0.59
STAG,"Stag Industrial, Inc.",0.69
STC,Stewart Information Services Co,1.35
STE,STERIS plc (Ireland),0.97
STM,STMicroelectronics N.V.,0.40
STN,Stantec Inc,0.79
STNG,Scorpio Tankers Inc.,1.65
STR,Sitio Royalties Corp.,0.57
STT,State Street Corporation,1.19
STWD,"STARWOOD PROPERTY TRUST, INC. S",0.48
SU,Suncor Energy  Inc.,1.45
SUI,"Sun Communities, Inc.",-0.57
SVM,Silvercorp Metals Inc.,1.36
SWK,"Stanley Black & Decker, Inc.",1.13
SWX,"Southwest Gas Holdings, Inc.",-0.95
SXC,"SunCoke Energy, Inc.",1.47
SXI,Standex International Corporati,0.86
SXT,Sensient Technologies Corporati,1.05
SYK,Stryker Corporation,0.81
SYT,"SYLA Technologies Co., Ltd.",1.19
SYY,Sysco Corporation,1.40
T,AT&T Inc.,4.55
TAC,TransAlta Corporation,-2.50
TAL,TAL Education Group,-0.37
TAP,Molson Coors Beverage Company,1.28
TCI,Transcontinental Realty Investo,-0.10
TD,Toronto Dominion Bank (The),0.80
TDC,Teradata Corporation,-65.36
TDF,"Templeton Dragon Fund, Inc.",0.81
TDG,Transdigm Group Incorporated,0.27
TDW,Tidewater Inc.,3.18
TDY,Teledyne Technologies Incorpora,0.93
TEI,Templeton Emerging Markets Inco,1.15
TEL,TE Connectivity plc,0.95
TEN,Tsakos Energy Navigation Ltd,1.39
TEO,Telecom Argentina SA,-0.56
TER,"Teradyne, Inc.",1.85
TEX,Terex Corporation,1.78
TFX,Teleflex Incorporated,0.78
TGI,"Triumph Group, Inc.",1.06
TGS,Transportadora de Gas del Sur S,1.79
TGT,Target Corporation,1.67
THC,Tenet Healthcare Corporation,2.99
THG,Hanover Insurance Group Inc,1.64
THO,"Thor Industries, Inc.",0.81
THR,"Thermon Group Holdings, Inc.",1.31
THS,"Treehouse Foods, Inc.",-4.54
TJX,"TJX Companies, Inc. (The)",2.51
TKC,Turkcell Iletisim Hizmetleri AS,1.31
TKR,Timken Company (The),1.28
TLK,"PT Telekomunikasi Indonesia, Tb",1.62
TM,Toyota Motor Corporation,1.23
TMHC,Taylor Morrison Home Corporatio,2.18
TMO,Thermo Fisher Scientific Inc,1.15
TMUS,"T-Mobile US, Inc.",1.10
TNC,Tennant Company,2.27
TNK,Teekay Tankers Ltd.,1.78
TOL,"Toll Brothers, Inc.",1.64
TPH,"Tri Pointe Homes, Inc.",1.84
TPL,Texas Pacific Land Corporation,1.96
TR,"Tootsie Roll Industries, Inc.",1.01
TRC,Tejon Ranch Co,-1.55
TREX,"Trex Company, Inc.",1.66
TRGP,"Targa Resources, Inc.",1.05
TRI,Thomson Reuters Corp,0.81
TRN,"Trinity Industries, Inc.",6.59
TRNO,Terreno Realty Corporation,0.59
TRP,TC Energy Corporation,0.96
TRV,"The Travelers Companies, Inc.",12.27
TS,Tenaris S.A.,1.46
TSI,"TCW Strategic Income Fund, Inc.",1.05
TSM,Taiwan Semiconductor Manufactur,1.66
TSN,"Tyson Foods, Inc.",0.93
TTC,Toro Company (The),1.77
TTI,"Tetra Technologies, Inc.",1.69
TU,Telus Corporation,0.76
TW,Tradeweb Markets Inc.,2.10
TWN,"Taiwan Fund, Inc. (The)",0.72
TXT,Textron Inc.,1.25
TY,Tri Continental Corporation,1.14
TYG,Tortoise Energy Infrastructure ,1.03
TYL,"Tyler Technologies, Inc.",0.08
UAL,"United Airlines Holdings, Inc.",3.18
UAN,"CVR Partners, LP",1.49
UBS,UBS Group AG Registered,0.36
UDR,"UDR, Inc.",-0.26
UGI,UGI Corporation,1.22
UGP,Ultrapar Participacoes S.A. (Ne,1.54
UHS,"Universal Health Services, Inc.",2.17
UHT,Universal Health Realty Income ,0.78
UL,Unilever PLC,1.39
UMC,United Microelectronics Corpora,1.35
UMH,"UMH Properties, Inc.",-0.65
UNF,Unifirst Corporation,1.03
UNH,UnitedHealth Group Incorporated,1.68
UNM,Unum Group,1.16
UNP,Union Pacific Corporation,2.07
UPS,"United Parcel Service, Inc.",1.42
URI,"United Rentals, Inc.",1.57
USA,Liberty All-Star Equity Fund,0.80
USAC,"USA Compression Partners, LP",0.98
USB,U.S. Bancorp,2.28
USNA,"USANA Health Sciences, Inc.",1.23
USPH,"U.S. Physical Therapy, Inc.",1.27
UTF,Cohen & Steers Infrastructure F,1.02
UTI,Universal Technical Institute I,-0.44
UTL,UNITIL Corporation,0.96
UVV,Universal Corporation,1.24
V,Visa Inc.,1.58
VAC,Marriott Vacations Worldwide Co,1.05
VAL,Valaris Limited,1.47
VALE,VALE S.A.,1.67
VBF,Invesco Bond Fund,1.05
VC,Visteon Corporation,12.30
WAB,Westinghouse Air Brake Technolo,1.19
WAL,Western Alliance Bancorporation,0.82
WAT,Waters Corporation,1.45
WBS,Webster Financial Corporation,1.13
X,United States Steel Corporation,-0.96
XEL,Xcel Energy Inc.,0.73
XOM,Exxon Mobil Corporation,1.85
XPO,"XPO, Inc.",0.78
XYL,Xylem Inc.,1.32
YELP,Yelp Inc.,2.01
YPF,YPF Sociedad Anonima,1.28
YUM,"Yum! Brands, Inc.",3.65
ZTS,Zoetis Inc.,1.83
AAON,"AAON, Inc.",1.20
AAPL,Apple Inc.,1.90
ABCB,Ameris Bancorp,0.84
ACAD,ACADIA Pharmaceuticals Inc.,1.40
ACGL,Arch Capital Group Ltd.,1.28
ACHC,"Acadia Healthcare Company, Inc.",1.33
ACIW,"ACI Worldwide, Inc.",1.90
ACLS,"Axcelis Technologies, Inc.",2.48
ACNB,ACNB Corporation,0.69
ADBE,Adobe Inc.,2.22
ADI,"Analog Devices, Inc.",0.45
ADP,"Automatic Data Processing, Inc.",0.93
ADSK,"Autodesk, Inc.",1.24
ADUS,Addus HomeCare Corporation,2.17
AEIS,"Advanced Energy Industries, Inc",0.63
AGNC,AGNC Investment Corp.,0.63
AGYS,"Agilysys, Inc.",-0.76
AKAM,"Akamai Technologies, Inc.",1.12
ALGN,"Align Technology, Inc.",0.93
ALKS,Alkermes plc,2.36
AMAT,"Applied Materials, Inc.",1.84
AMED,Amedisys Inc,1.32
AMGN,Amgen Inc.,1.26
AMKR,"Amkor Technology, Inc.",1.08
AMSC,American Superconductor Corpora,-1.00
AMSF,"AMERISAFE, Inc.",0.92
AMWD,American Woodmark Corporation,1.46
AMZN,"Amazon.com, Inc.",0.95
ANDE,"The Andersons, Inc.",1.37
ANGI,Angi Inc.,-1.43
ANSS,"ANSYS, Inc.",2.08
APEI,"American Public Education, Inc.",0.30
APOG,"Apogee Enterprises, Inc.",1.35
APWC,Asia Pacific Wire & Cable Corpo,0.91
ARCC,Ares Capital Corporation,1.35
ARLP,"Alliance Resource Partners, L.P",1.49
AROW,Arrow Financial Corporation,0.79
ARTNA,Artesian Resources Corporation,0.93
ARTW,"Art's-Way Manufacturing Co., In",1.23
ASML,ASML Holding N.V. - New York Re,1.75
ASTE,"Astec Industries, Inc.",1.40
ATLC,Atlanticus Holdings Corporation,1.23
ATLO,Ames National Corporation,0.72
AUDC,AudioCodes Ltd.,0.94
AVAV,"AeroVironment, Inc.",0.26
AVGO,Broadcom Inc.,0.21
BANC,"Banc of California, Inc.",0.66
BANR,Banner Corporation,0.79
BBSI,"Barrett Business Services, Inc.",5.69
BCBP,"BCB Bancorp, Inc. (NJ)",-0.12
BCPC,Balchem Corporation,1.02
BELFA,Bel Fuse Inc.,1.13
BELFB,Bel Fuse Inc.,1.43
BFIN,BankFinancial Corporation,0.23
BIDU,"Baidu, Inc.",1.15
BIIB,Biogen Inc.,1.87
BJRI,"BJ's Restaurants, Inc.",0.34
BLDR,"Builders FirstSource, Inc.",2.05
BLMN,"Bloomin' Brands, Inc.",1.49
BMRN,BioMarin Pharmaceutical Inc.,1.62
BOKF,BOK Financial Corporation,0.78
BOSC,B.O.S. Better Online Solutions,1.44
BOTJ,Bank of the James Financial Gro,0.79
BPOP,"Popular, Inc.",0.97
BRKL,"Brookline Bancorp, Inc.",0.72
BRKR,Bruker Corporation,0.24
BSET,"Bassett Furniture Industries, I",-0.21
BSRR,Sierra Bancorp,0.90
BUR,Burford Capital Limited,1.27
BUSE,First Busey Corporation,0.53
CAAS,"China Automotive Systems, Inc.",1.30
CAC,Camden National Corporation,1.19
CACC,Credit Acceptance Corporation,0.84
CAKE,The Cheesecake Factory Incorpor,1.10
CALM,"Cal-Maine Foods, Inc.",-0.66
CAMT,Camtek Ltd.,1.09
CART,Maplebear Inc.,1.63
CASH,"Pathward Financial, Inc.",1.03
CASS,"Cass Information Systems, Inc",0.47
CASY,"Caseys General Stores, Inc.",2.14
CATY,Cathay General Bancorp,0.92
CBAN,"Colony Bankcorp, Inc.",0.78
CBNK,"Capital Bancorp, Inc.",0.81
CBOE,"Cboe Global Markets, Inc.",1.95
CBRL,Cracker Barrel Old Country Stor,0.66
CBSH,"Commerce Bancshares, Inc.",0.86
CCBG,Capital City Bank Group,0.86
CCNE,CNB Financial Corporation,1.01
CDNS,"Cadence Design Systems, Inc.",2.17
CDW,CDW Corporation,2.13
CECO,CECO Environmental Corp.,0.76
CENT,Central Garden & Pet Company,0.99
CENTA,Central Garden & Pet Company,1.04
CENX,Century Aluminum Company,1.19
CEVA,"CEVA, Inc.",-1.01
